poeta	fabula	fpid	line_number_first	line_number_last	numlines	char_numlines	nomen	genus_personae	line_first	line_last	z_old_text	meter_before	meter_after	closure	comments_on_length	comments_other	meter	metertype
Plautus	Aulularia	TM001598	161	279	118	65	Megadorus	sen	MEG. num non vis me interrogare te?  EUN. immo, si quid vis, roga.	nam ecastor malum maerore metuo ne mixtum bibam.	ME. num non vis me interrogare te?  EUN. immo, si quid vis, roga....   (STA) nam ecastor malum maerore metuo ne mixtum bibam.	versreiz	ia6	per end of scene	161 almost all spondees	switch to tr7 as Megadorus take charge, rejects old wife, and proposes Euclio’s daughter; continues through Euclio and Megadorus (proposal and suspicion); Euclio and Staphyla; 244-245 one line; Leo brackets 266 but I count it	tr7	tr
Plautus	Aulularia	TM002072	153	153	1	1	Megadorus	sen	EUN. heia, hoc face quod te iubet soror.  MEG. si lubeat, faciam.	EUN. heia, hoc face quod te iubet soror.  MEG. si lubeat, faciam.	EUN. heia, hoc face quod te iubet soror.  MEG. si lubeat, faciam.	an4	an4catcolreiz	per end of speech self-contained	sp an da ia    da da long	self-contained; change of speakers at diaeresis; meter switch as she wins; she now makes the meter changes (153, 154)	colreiz	reiz
Plautus	Aulularia	TM002072	153	153	1	1	Megadorus	sen	EUN. heia, hoc face quod te iubet soror.  MEG. si lubeat, faciam.	EUN. heia, hoc face quod te iubet soror.  MEG. si lubeat, faciam.	EUN. heia, hoc face quod te iubet soror.  MEG. si lubeat, faciam.	an4	an4catcolreiz	per end of speech self-contained	sp an da ia    da da long	self-contained; change of speakers at diaeresis; meter switch as she wins; she now makes the meter changes (153, 154)	versreiz	ia
Plautus	Aulularia	TM002073	156	158	3	2	Megadorus	sen	quae cras veniat, perendie   foras feratur, [soror].	cum maxima possum tibi,   frater, dare dote,	quae cras veniat, perendie   foras feratur, [soror]. his legibus quam dare vis? cedo:   nuptias adorna. EUN. cum maxima possum tibi,   frater, dare dote,	ba2colreiz	ba3colreiz	comma before sed	sp an ia ia    ia ia l sp an an short short  da ia l sp ia sp ia  sp an short 156-157 identical starts	I will marry if she dies immediately; I have wife with dowry	colreiz	reiz
Plautus	Aulularia	TM002073	156	158	3	2	Megadorus	sen	quae cras veniat, perendie   foras feratur, [soror].	cum maxima possum tibi,   frater, dare dote,	quae cras veniat, perendie   foras feratur, [soror]. his legibus quam dare vis? cedo:   nuptias adorna. EUN. cum maxima possum tibi,   frater, dare dote,	ba2colreiz	ba3colreiz	comma before sed	sp an ia ia    ia ia l sp an an short short  da ia l sp ia sp ia  sp an short 156-157 identical starts	I will marry if she dies immediately; I have wife with dowry	versreiz	ia
Plautus	Aulularia	TM002142	140	140	1	1	Megadorus	sen	EUN. alia alia peior, frater, est.  MEG. idem ego arbitror,	EUN. alia alia peior, frater, est.  MEG. idem ego arbitror,	EUN. alia alia peior, frater, est.  MEG. idem ego arbitror,	ia4	tr7	comma before nec	starts proceleusmatic, res. as MEG responds	ia6 for maxim	ia6	ia
Plautus	Aulularia	TM002146	475	586	112	73	Megadorus	sen	narravi amicis multis consilium meum	ibo ad te fretas tua, Fides, fiducia.	narravi amicis multis consilium meum...  (EUC) ibo ad te fretas tua, Fides, fiducia.—	tr7	tr7	per end of scene		Megadorus’ monologue; Megadorus and Euclio talk; Euclio to Fides Megadorus gets passionate, but he provides important contrast to Euclio's emotion complaints about domestic troubles in ia6 (cf. Merc. 817)	ia6	ia
Plautus	Aulularia	TM002147	661	712	52	2	Phaedria_Of_Aul	virgo	emortuom ego me mavelim leto malo	attat, eccum ipsum.  ibo ut hoc condam domum.	emortuom ego me mavelim leto malo quam non ego illi dem hodie insidias seni....  attat, eccum ipsum.  ibo ut hoc condam domum.—	tr8	an8	per end of scene		Servus and Euclio monologues; Lyconides and Eunomia, with Phaedrium heard offstage; servus monologue. servus now in control: unaccompanied monologue to audience; then calm before storm 697: Lyconides refers to servum meum Strobilum (Lindsay uses cruxes here)	ia6	ia
Plautus	Aulularia	TM001598	161	279	118	7	Staphyla	anus	MEG. num non vis me interrogare te?  EUN. immo, si quid vis, roga.	nam ecastor malum maerore metuo ne mixtum bibam.	ME. num non vis me interrogare te?  EUN. immo, si quid vis, roga....   (STA) nam ecastor malum maerore metuo ne mixtum bibam.	versreiz	ia6	per end of scene	161 almost all spondees	switch to tr7 as Megadorus take charge, rejects old wife, and proposes Euclio’s daughter; continues through Euclio and Megadorus (proposal and suspicion); Euclio and Staphyla; 244-245 one line; Leo brackets 266 but I count it	tr7	tr
Plautus	Aulularia	TM002141	001	119	119	23	Staphyla	anus	ne quis miretur qui sim, paucis eloquar.	me rusum quantum potero tantum recipiam.	ne quis miretur qui sim, paucis eloquar,...  (STA) me rusum quantum potero tantum recipiam.	beg. of play	ba2bacol	per end of scene		prologue, Euclio and Staphyla	ia6	ia
Plautus	Aulularia	TM002144	280	392	113	10	Staphyla	anus	postquam opsonavit erus et conduxit coquos	perii hercle.  aurum rapitur, aula quaeritur.	postquam opsonavit erus et conduxit coquos...  (EUC) perii hercle.  aurum rapitur, aula quaeritur.	tr7	tr7	period		cook scene; Euclio mon., hears Congrio;  cook scene, then calm before storm; Leo  attributies to Pythodicus most of what Lindsay gives to Strobilus; Pythodicus is only in a scene heading; I follow Lindsqy; Leo includes a lacuna after 398, which I have not counted	ia6	ia
Plautus	Aulularia	TM002144	280	392	113	69	Strobilus	serv	postquam opsonavit erus et conduxit coquos	perii hercle.  aurum rapitur, aula quaeritur.	postquam opsonavit erus et conduxit coquos...  (EUC) perii hercle.  aurum rapitur, aula quaeritur.	tr7	tr7	period		cook scene; Euclio mon., hears Congrio;  cook scene, then calm before storm; Leo  attributies to Pythodicus most of what Lindsay gives to Strobilus; Pythodicus is only in a scene heading; I follow Lindsqy; Leo includes a lacuna after 398, which I have not counted	ia6	ia
Plautus	Bacchides	TM000099	1166	1166	1	1	Bacchis_Of_Bacchides	mer	BA. sequere hac.  NI. eunt eccas tandem,	BA. sequere hac.  NI. eunt eccas tandem,	BA. sequere hac.  NI. eunt eccas tandem,	an7	ansys8	enjambment after	anapests for BA, spondes for NI	shorter anapests as sisters start to move	an4cat	an
Plautus	Bacchides	TM000102	1192a	1192a	1	1	Bacchis_Of_Bacchides	mer	te amabo et te amplexabor.	te amabo et te amplexabor.	Bacchis: te amabo et te amplexabor	an7	ansys12	closure	spondees except 1st foot, hiatus in 1st foot	climax of seduction	an4cat	an
Plautus	Bacchides	TM000104	1203	1203	1	1	Bacchis_Of_Bacchides	mer	it dies ite intro accubitum,	it dies ite intro accubitum,	BA: it dies ite intro accubitum,	an7	an7	syntactic closure	almost all longs	climax of seduction	an4cat	an
Plautus	Bacchides	TM000160	1149	1150	2	2	Bacchis_Of_Bacchides	mer	BA. soror, est quod te volo secreto. SO. eho, amabo.  NI. quo illaec abeunt?	senem illum tibi dedo ulteriorem lepide ut lenitum reddas;	BA calls sister aside and proposes plan	tr7	an8	semicolon; syntactic closure, but not in subject;	a number of anapests here, notably at beginning of each line	BA calls sister aside and proposes plan; switch to anapests as sisters plot to seduce senes; echoes anapests that opened scene?	an7	an
Plautus	Bacchides	TM000164	1169	1171	3	2	Bacchis_Of_Bacchides	mer	non homo tu quidem es, qui istoc pacto tam lepidam inlepide appelles.	ut istuc delictum desistas tanto opere ire oppugnatum.	PH. and BA. beseech NI	ansys08	ansys4cat	closure	1169: dactyls for tam lepidam inlepide; 1170: anapests for line start, senex optime quantum…; sine me	PH. and BA. beseech NI; things in this scene seem to start in an7	an7	an
Plautus	Bacchides	TM000165	1176	1178	3	1	Bacchis_Of_Bacchides	mer	NI. abin a me, scelus?  BA. sine, mea pietas, te exorem.  NI. exores tu me?	SO. lepidum te! PH. at scin quo pacto me ad te intro abducas? SO. mecum ut sis.	starts NI. abin a me, scelus?  BA. sine, mea pietas, te exorem.  NI. exores tu me?	ansts6	ansys6	syntactic closure	heavily spondaic except beginnings of lines; 1176: abin a me, scelus, sine mea pietas, then spondees; 1177: ego quidem ab hoc, then spondees; Phil., in his eagerness,  elides her last word, then elides diaeresis; 1178: lepidum te! then all spondees;	more seduction;	an7	an
Plautus	Bacchides	TM000166	1181	1181	1	1	Bacchis_Of_Bacchides	mer	i hac mecum intro, ubi tibi sit lepide victibus, vino atque unquentis.	i hac mecum intro, ubi tibi sit lepide victibus, vino atque unquentis.	i hac mecum intro, ubi tibi sit lepide victibus, vino atque unquentis.	ansys6	ansys8	self-contained	shorts for ubi tibi sit lepide;	Ba’s request that Nicobulus join her; again, an7 for start	an7	an
Plautus	Bacchides	TM000167	1187	1192	5	1	Bacchis_Of_Bacchides	mer	PH. etiam tu, homo nihili? quod dei dant boni cave culpa tua amissis;	NI. egon cum haec cum illo accubet inspectem?  BA. immo equidem pol tecum acumbam,	Nicobulus gives in, in conversation with PH.	ansys12	an4cat	enjambment at end	note increase in short syllables, especially at 1189/90 for Nic.’s indignation, and 1191: age iam, id ut est, etsi est dedecori, patiar, facere inducam animum; 1192: Ba, in her eagerness to reassure Ni, elides his last word, then elides diaeresis; cf. 1177, where Phil. does same thing as he is seduced; repetition emphasizes Nic’s reluctance vs. Phil.’s eagerness	Nicobulus gives in, in conversation with PH.; 1189/90 one line 1190 : again, significant ending from Phi: potandumst	an7	an
Plautus	Bacchides	TM000168	1196	1199	4	4	Bacchis_Of_Bacchides	mer	NI. quid ago? PH. quid agas? rogitas etiam? NI. libet et metuo.  BA. quid metuis?	BA. hanc veniam illis sine te exorem.  NI. ut terebrat! satin offirmatum	Nicobulus gives in: starts quid ago? PH. quid agas? rogitas etiam? NI. libet et metuo.  BA. quid metuis?	ansys12	an4cat	enj	1196: shorts take over here as Nicobulus gives in: quid ago? PH. quid agas? rogitas etiam? NI. libet et metuo.  BA. quid metuis? completely anapests, until Bacchis speaks and introduces line’s final dactyl; 1197ff: more longs as BA. takes control; 1199: elision and change of speaker at diaeresis;	Nicobulus’ emotion?; an7 starting unit again: Nic. question at an7; cf. 1154, 1156, 1160, 1176; other an7 here start 1149: Ba decides to seduce, 1169: Ph:non homo tu es; 1181: Ba: i hac mecum intro; 1187; Ph.: etiam tu, homo nihil? 1199: Nic’s last attempt at resistance echoes meter of Ph’s eager seduction at 1177 and Ba’s promise at 1192: elision over speaker, anapest	an7	an
Plautus	Bacchides	TM000169	1201	1202	2	2	Bacchis_Of_Bacchides	mer	NI. tua sum opera et propeter te improbior.  BA. neminis quam mea mavellem.	BA. satin ego istuc habeo offirmatum?  NI. quod semel dixi haut mutabo.	NI gives in: starts tua sum opera et propeter te improbior	an4cat	an4cat	closure	mixture of shorts and longs does not seem to tell much here; longs at end again: quod semel dixi haut mutabo;	NI gives in; an7 again for significant beginning	an7	an
Plautus	Bacchides	TM000170	1204	1206	3	3	Bacchis_Of_Bacchides	mer	BA. filii vos expectant intus.  NI. quam quidem actutum emoriamur.	BA. lepide ipsi hi sunt capti, suis qui filiis fecere insidiis.	final entrance of senes into house	an4cat	tr7	clo (end of canticum proper)	1205: shorts for sequimini; NI. does not wait for diaeresis to say ducite nos quo lubet; more anapests in this line than most (3); conspicuous correspondence of ictus and accent	final entrance of senes into house; an7 again for major moment: these seem to be the continuing meter, with others breaking; end of play except tr7 epilogue	an7	an
Plautus	Bacchides	TM000234	1151	1153	3	2	Bacchis_Of_Bacchides	mer	ego ad hunc iratum adgrediar, <si> possumus nos hos intro inlicere hoc.	BA. facito ut facias.  SO. taceas; tu tuum facito: ego quod dixi haud mutabo.	more plotting by sisters;	an7	an7	closure	anapests remain conspicuous, esp. at beginning of 1153: facito ut facias.  SO. taceas..;	more plotting by sisters; an8 between an7 for plotting, between lines of NIC	an8	an
Plautus	Bacchides	TM000314	1172	1173	3	3	Bacchis_Of_Bacchides	mer	NI. malum tibi magnum dabo iam.  BA. patiar,	BA. quod ferias.  NI. ut blandiloquast!	 NI threatens and BA entices;	an4cat	ansys6	closure	shorts	NI threatens and BA entices; starts with curse, after nisi clause;  2 an4 + an4cat; there is an 1172a	ansys06	an
Plautus	Bacchides	TM000315	1174	1175a	3	2	Bacchis_Of_Bacchides	mer	NI. ei mi, metuo.  SO. hic magis tranquillust.	filium concastigato.	NI being seduced	ansys6	an7	clos	not quite so many shorts here	NI being seduced; starts with ei mi, metuo, as in 1172, switch to new ansys6 comes in middle of NI speech; 2 an4 + an4cat; there is an 1175a	ansys06	an
Plautus	Bacchides	TM000332	1184	1186a	6	3	Bacchis_Of_Bacchides	mer	alterum tantum auri non meream.	malo illos ulcisci ambo.	Nicobulus continues threat against Chrysalus; Bacchis promises half of money; Nicobulus refuses to forgive Chry. and Mne.	an4cat	an7	clo	1185a: PH. has anapest: faciet; 1186-1187: Nic. has shorts for minime… and moror sine sic; then all longs for concluding: malo illos ulcisci ambo; ;	Nicobulus continues threat against Chrysalus; Bacchis promises half of money; Nicobulus refuses to forgive Chry. and Mne.l enjambment before; system starts for conclusion of I will get Chrysalus, then continues through promise and refusal; 5 an4 + 1 an4cat; there are 1184a, 1185a, 1186a 1184a: no meter change for Ba’s proposal to give 1/2 of money back; 1185a: Ph with significant end of verse again (cf. 1162, 1163); 1186: Ni’s anapest minime immediately after Ph.’s anapest faciet	ansys12	an
Plautus	Bacchides	TM000333	1193	1195a	6	5	Bacchis_Of_Bacchides	mer	caput prurit, perii, vix negito.	morte id eventurum esse umquam?	NI. caput prurit, perii, vix negito. / BA. non tibi venit in mentem, abamo, / si dum vivas tibi bene facias / tam pol id quidem esse haud perlonginguum, / nec, si hoc hodie amiseris, post in / morte id eventurum esse umquam?	an4cat	an7	closure of carpe diem theme	shorts continue; 1193a: Ba. produces her second hiatus in 3 lines; each comes before amabo (1192: te amabo; 1193a: mentem amabo); calling attention to love?; 1194: note shorts of tibi bene facias; 1195: spondee at conclusion, as at 1186a	system starts as NIC fears giving in, continues through carpe diem; 5 an4 + 1 an4cat; each verse has “a” verse	ansys12	an
Plautus	Bacchides	TM000362	1121a	1121a	1	1	Bacchis_Of_Bacchides	mer	nam, amabo, quis has huc  ovis adegit?	nam, amabo, quis has huc  ovis adegit?	Bacchis: nam, amabo, quis has huc  ovis adegit?	ba3	ba4	self-contained	regular; spondee in bacol	continues reg. bacchiacs from previous line	ba2bacol	ba
Plautus	Bacchides	TM000362	1121a	1121a	1	1	Bacchis_Of_Bacchides	mer	nam, amabo, quis has huc  ovis adegit?	nam, amabo, quis has huc  ovis adegit?	Bacchis: nam, amabo, quis has huc  ovis adegit?	ba3	ba4	self-contained	regular; spondee in bacol	continues reg. bacchiacs from previous line	bacol	
Plautus	Bacchides	TM000363	1127	1127	1	1	Bacchis_Of_Bacchides	mer	rerin ter in anno   tu has tonsitari?	rerin ter in anno   tu has tonsitari?	rerin ter in anno   tu has tonsitari?	ba4	bacolia4cat	self-contained;	molossus opens; spondee in bacol	mocking	ba2bacol	ba
Plautus	Bacchides	TM000363	1127	1127	1	1	Bacchis_Of_Bacchides	mer	rerin ter in anno   tu has tonsitari?	rerin ter in anno   tu has tonsitari?	rerin ter in anno   tu has tonsitari?	ba4	bacolia4cat	self-contained;	molossus opens; spondee in bacol	mocking	bacol	
Plautus	Bacchides	TM000412	1121	1121	1	1	Bacchis_Of_Bacchides	mer	NI. ego atque hic.  BA. quid hoc est negoti?	NI. ego atque hic.  BA. quid hoc est negoti?	NI. ego atque hic.  BA. quid hoc est negoti?	bacol	ba2bacol	self-contained	completely regular	dance of senes and meretrices, reg. meter continues in next line	ba3	ba
Plautus	Bacchides	TM000449	1120	1120	1	1	Bacchis_Of_Bacchides	mer	quis sonitu ac tumultu tanto [nomine] nominat me at-	quis sonitu ac tumultu tanto [nomine] nominat me at-	quis sonitu ac tumultu tanto [nomine] nominat me at-	tr7	bacol	enjambment after (word divided)	starts long, resolution for sonitu; molossus for tanto nominat	Bacchides bring bacchiacs: slow meter in resistance to old men’s trochees	ba4	ba
Plautus	Bacchides	TM000452	1131	1138a	8	1	Bacchis_Of_Bacchides	mer	ecastor sine omni arbitror malitia esse.	ne balant quidem, cum a pecu cetero absunt.	Starts ecastor sine omni arbitror malitia esse.	ba3catbacol	ba1bacol	closure (in syntax, not subject)	1131: starts molossus, resolution for malitia; 1132: resolution for merito, molossus for nobis fit; 1133: starts molossus, resolution quid eo; 1134: starts 2 molossi; 1135: I can’t follow Questa’s scansion here; 1136:/37: starts and ends with molossus; 1138: starts with 2 molossi; 1138a: starts molossus	settle into ba4 as Ph. says we deserve it and sisters decide to take them into house; there seem to be an unusual number of molossi; emphasizing calm obedience of senes; 1136/37 one verse, there is an 1138a	ba4	ba
Plautus	Bacchides	TM000453	1140	1140	1	1	Bacchis_Of_Bacchides	mer	BA. revortamur intro, soror.  NI. ilico ambae	BA. revortamur intro, soror.  NI. ilico ambae	BA. revortamur intro, soror.  NI. ilico ambae;	ba1bacol	ba1bacol	enjambment at end	completely regular	regular ba4 for leading in; breaks down in next line as NIC tries to stop them	ba4	ba
Plautus	Bacchides	TM000579	1120a	1120a	1	1	Bacchis_Of_Bacchides	mer	-que pultat aedes?	-que pultat aedes?	-que pultat aedes?	ba4	ba3	question	iamb, then molossus	ends her entering question	bacol	ba
Plautus	Bacchides	TM001606	035	108	74	51	Bacchis_Of_Bacchides	mer	BA. quid si hoc potis est ut tu taceas, ego loquor?  SO. lepide, licet.	sequere hac igitur me intro in lectum, ut sedes lassitudinem.	BA. quid si hoc potis est ut tu taceas, ego loquor?  SO. lepide, licet....    BA. sequere hac igitur me intro in lectum, ut sedes lassitudinem.	incertum	ia6	per end of scene last before ia6	sp an sp an tri da tr long   108 an, then longs for sedes lassitudinem	Pistoclerus and women; seduction; taceas without meter change; Leo brackets 67, 69, 107, but I count them	tr7	tr
Plautus	Bacchides	TM001617	1141	1148	8	2	Bacchis_Of_Bacchides	mer	prodigium hoc quidemst: humana nos voce appellant oves.	arietes truces nos erimus, iam in vos incursabimus.	SO. prodigium hoc quidemst: humana nos voce appellant oves....   arietes truces nos erimus, iam in vos incursabimus.	ba1bacol	an7	per end of speech; sel-contained	heavily spondaic until 1148 (arietes truces nos erimus…)	Ph. & Nic. begin altercation with sisters; continues where we left off at 1120, where bacchiacs started; old men trying to get in	tr7	tr
Plautus	Bacchides	TM002076	1124	1124	1	1	Bacchis_Of_Bacchides	mer	at pol nitent, haud sordidae   videntur ambae.	at pol nitent, haud sordidae   videntur ambae.	at pol nitent, haud sordidae   videntur ambae.	ba4	ba4	per end of speech self-contained	sp ia sp ia (Greek style)  ia ia l	regular meter: BA in control	colreiz	reiz
Plautus	Bacchides	TM002076	1124	1124	1	1	Bacchis_Of_Bacchides	mer	at pol nitent, haud sordidae   videntur ambae.	at pol nitent, haud sordidae   videntur ambae.	at pol nitent, haud sordidae   videntur ambae.	ba4	ba4	per end of speech self-contained	sp ia sp ia (Greek style)  ia ia l	regular meter: BA in control	versreiz	ia
Plautus	Bacchides	TM002153	6	8	3	1	Bacchis_Of_Bacchides	mer	sicut lacte lactis similest	(latro) suam qui auro vitam venditat	V (6): sicut lacte lactis similest VI (7) illa mi cognominis fuit: Leo attributes this to Bacchis VII (8) (latro) suam qui auro vitam venditat	incertum	incertum	incertum		frags. 5-7; verses 6-8 in Leo’s text; Servius ad Aen. 6.383 on frag. VI: nam in Plauto lectum est, cum una de Bacchidibus diceret	incertum	incertum
Plautus	Bacchides	TM002169	1129	1129	1	1	Bacchis_Of_Bacchides	mer	BA. vetulae sunt †thimiamae.† SO. at bonas fuisse credo.	BA. vetulae sunt †thimiamae.† SO. at bonas fuisse credo.	BA. vetulae sunt †thimiamae.† SO. at bonas fuisse credo.	bacolia4cat	ba3catbacol	per end of thought		Questa agrees with Jachmann that at bonas fuisse credo is ia4cat	incertum	incertum
Plautus	Bacchides	TM000668	652	652	1	1	Chrysalus	servcal	multipotens pectus:	multipotens pectus:	multipotens pectus; closure	wil	cr2tr4cat	colon	dactyl three longs	closure	colreiz	reiz
Plautus	Bacchides	TM000708	662	662	1	1	Chrysalus	servcal	utcumque res sit,  ita animum habeat.	utcumque res sit,  ita animum habeat.	utcumque res sit,  ita animum habeat.	ia4	cr2crcol	period, self-contained	1st almost all longs, second almost all shorts	monody on cleverness	colreizcolreiz	reiz
Plautus	Bacchides	TM000738	656	656	1	1	Chrysalus	servcal	improbis  cum improbus sit,  harpaget furibus,	improbis  cum improbus sit,  harpaget furibus,	improbis  cum improbus sit,  harpaget furibus,	ia4	cr2	comma	all cretics except extra long	word play on improbus	cr1tr2cr2	cr
Plautus	Bacchides	TM000738	656	656	1	1	Chrysalus	servcal	improbis  cum improbus sit,  harpaget furibus,	improbis  cum improbus sit,  harpaget furibus,	improbis  cum improbus sit,  harpaget furibus,	ia4	cr2	comma	all cretics except extra long	word play on improbus	cr2	
Plautus	Bacchides	TM000738	656	656	1	1	Chrysalus	servcal	improbis  cum improbus sit,  harpaget furibus,	improbis  cum improbus sit,  harpaget furibus,	improbis  cum improbus sit,  harpaget furibus,	ia4	cr2	comma	all cretics except extra long	word play on improbus	tr2	tr
Plautus	Bacchides	TM000749	657	657	1	1	Chrysalus	servcal	furetur quod queat:	furetur quod queat:	furetur quod queat:	cr1tr2cr2	cr2ith	colon	molossus cretic		cr2	cr
Plautus	Bacchides	TM000769	663	667	5	5	Chrysalus	servcal	sed lubet scire quantum   aurum erus sibi	sed quem quaero, optime eccum  obviam mihi est.	sed lubet scire quantum   aurum erus sibi dempsit et quid suo reddidit patri. si frugi est, Herculem  fecit ex patre: decimam partem ei dedit, sibi novem abstulit sed quem quaero, optime eccum  obviam mihi est.	colreizcolreiz	cr2thy	period end of thought	4 extra longs in all; 2 resolutions in 666 (decimam, sibi)	Chrysalus; new thought: I want to know how much money MN. kept; ; then sees MN.; cretics here echo cretics with which he first spoke of deception in specifics (643ff.); longest series of cr2crcol; is use of crcol instead of full cr4 a sign that all is not well?	cr2crcol	cr
Plautus	Bacchides	TM000769	663	667	5	5	Chrysalus	servcal	sed lubet scire quantum   aurum erus sibi	sed quem quaero, optime eccum  obviam mihi est.	sed lubet scire quantum   aurum erus sibi dempsit et quid suo reddidit patri. si frugi est, Herculem  fecit ex patre: decimam partem ei dedit, sibi novem abstulit sed quem quaero, optime eccum  obviam mihi est.	colreizcolreiz	cr2thy	period end of thought	4 extra longs in all; 2 resolutions in 666 (decimam, sibi)	Chrysalus; new thought: I want to know how much money MN. kept; ; then sees MN.; cretics here echo cretics with which he first spoke of deception in specifics (643ff.); longest series of cr2crcol; is use of crcol instead of full cr4 a sign that all is not well?	crcol	
Plautus	Bacchides	TM000821	658	658	1	1	Chrysalus	servcal	versipellem frugi  convenit esse hominem	versipellem frugi  convenit esse hominem	versipellem frugi  convenit esse hominem	cr2	crcol	enj before qui clause	extra long for frugi; res. for hominem	see Questa ad loc. for parallels	cr2ith	cr
Plautus	Bacchides	TM000821	658	658	1	1	Chrysalus	servcal	versipellem frugi  convenit esse hominem	versipellem frugi  convenit esse hominem	versipellem frugi  convenit esse hominem	cr2	crcol	enj before qui clause	extra long for frugi; res. for hominem	see Questa ad loc. for parallels	ith	tr
Plautus	Bacchides	TM000829	668	668	1	1	Chrysalus	servcal	numqui nummi exciderunt, ere, tibi,	numqui nummi exciderunt, ere, tibi,	Chrysalus: numqui nummi exciderunt, ere, tibi,	cr2crcol	ia4cat	comma	4 longs for numqui nummi	no diaeresis; thy for ere tibi	cr2thy	cr
Plautus	Bacchides	TM000829	668	668	1	1	Chrysalus	servcal	numqui nummi exciderunt, ere, tibi,	numqui nummi exciderunt, ere, tibi,	Chrysalus: numqui nummi exciderunt, ere, tibi,	cr2crcol	ia4cat	comma	4 longs for numqui nummi	no diaeresis; thy for ere tibi	thy	thy
Plautus	Bacchides	TM000849	653	653	1	1	Chrysalus	servcal	ubicumque usus siet,   pectore expromat suo.	ubicumque usus siet,   pectore expromat suo.	ubicumque usus siet,   pectore expromat suo.	colreiz	ia4	per end of thought	res. for ubicumque	meter is getting very complex here	cr2tr4cat	cr
Plautus	Bacchides	TM000849	653	653	1	1	Chrysalus	servcal	ubicumque usus siet,   pectore expromat suo.	ubicumque usus siet,   pectore expromat suo.	ubicumque usus siet,   pectore expromat suo.	colreiz	ia4	per end of thought	res. for ubicumque	meter is getting very complex here	tr4cat	tr
Plautus	Bacchides	TM000886	644	644	1	1	Chrysalus	servcal	compuli et perpuli mi omnia ut crederet.	compuli et perpuli mi omnia ut crederet.	Chrysalus: compuli et perpuli mi omnia ut crederet.	crcolcrcol	crcolcrcol	period end of thought	completely regular: besides monosyllables, one word per foot		cr4	cr
Plautus	Bacchides	TM000887	647	649	3	3	Chrysalus	servcal	regias copias aureasque optuli	non mihi isti placent Parmenones, Syri,	regias copias aureasque optuli ut domo sumeret neu foris quaereret. non mihi isti placent Parmenones, Syri,	thythy	tr4catcrcol	comma	completely regular:  one word per foot in 647	Chrysalus: I got regias copias so that he could get what he wants; non mihi isti placent Paermenones, Syri; commas before and after	cr4	cr
Plautus	Bacchides	TM000979	659	659	1	1	Chrysalus	servcal	pectus cui sapit:	pectus cui sapit:	pectus cui sapit:	cr2ith	ia4	colon	cretic iamb (not counting s at end of pectus)		crcol	cr
Plautus	Bacchides	TM001004	643	643	1	1	Chrysalus	servcal	callidum senem  callidis dolis	callidum senem  callidis dolis	callidum senem  callidis dolis	tr8	cr4	enj	cretic iamb cretic iamb	Chrysalus; switch to cretics for specifics on deception; nice echo in two halves of line echo of Mnesilochus’ despair?	crcolcrcol	cr
Plautus	Bacchides	TM001005	645	645	1	1	Chrysalus	servcal	nunc amanti ero, filio senis	nunc amanti ero, filio senis	nunc amanti ero, filio senis	cr4	thythy	enj	cretic iamb cretic iamb	Chrysalus:  two cola juxtapose MN. as lover and son	crcolcrcol	cr
Plautus	Bacchides	TM001044	971	972	2	2	Chrysalus	servcal	nunc alteris etiam ducentis usus est qui dispensentur,	Ilio capto ut sit mulsum qui triumphent milites.	nunc alteris etiam ducentis usus est qui dispensentur, Ilio capto ut sit mulsum qui triumphent milites.	ia4	ia8	period end of thought self-contained	1 res. 8 spondee	last thing before sed Primum	iacont	ia
Plautus	Bacchides	TM001059	654	655	2	2	Chrysalus	servcal	nullus frugi esse potest homo,	nisi qui et bene facere et male tenet.	nullus frugi esse potest homo, nisi qui et bene facere et male tenet.	cr2tr4cat	cr1tr2cr2	period end of maxim self-contained	many shorts after spondaic opening	self-contained; iambs for generalization; we had one pair of ia4 for each character in this pair of scenes	ia4	ia
Plautus	Bacchides	TM001060	660	661	1	1	Chrysalus	servcal	bonus sit bonis, malus sit malis;	bonus sit bonis, malus sit malis;	bonus sit bonis, malus sit malis;	crcol	colreizcolreiz	semicolon	an ia an ia	symmetry around diaeresis; echo of maxim at 654-655? 660/661 is one line	ia4	ia
Plautus	Bacchides	TM001061	970	970	1	1	Chrysalus	servcal	quos dare se promisit, dabit.	quos dare se promisit, dabit.	quos dare se promisit, dabit.	tr7	iacont	period	da sp sp ia	closure	ia4	ia
Plautus	Bacchides	TM001062	995	996	3	2	Chrysalus	servcal	NI. hoc age sis nunciam.  CH. ubi lubet,	cerae quidem haud parsit nec stilo;	NI. hoc age sis nunciam.  CH. ubi lubet, recita: aurium operam tibi dico. NI. cerae quidem haud parsit nec stilo;	tr7	ia2colreiz	semicolon	several resolutions	there is a 995a	ia4	ia
Plautus	Bacchides	TM001146	668a	668a	1	1	Chrysalus	servcal	quod sic terram optuere?	quod sic terram optuere?	Chrysalus: quod sic terram optuere?	cr2thy	ia6	quest end of thought last before ia6	sp sp ia short	1st of 3 questions	ia4cat	ia
